DGRP,time,event,censor,tray
DGRP-324,1.196527778,0,0,1
DGRP-324,1.995138889,0,0,1
DGRP-324,2.197916667,0,0,1
DGRP-324,3.008333333,0,0,1
DGRP-324,3.215972222,0,0,1
DGRP-324,3.988194444,0,0,1
DGRP-324,4.195138889,0,0,1
DGRP-324,5.023611111,0,0,1
DGRP-324,5.197916667,0,0,1
DGRP-324,6.01875,0,0,1
DGRP-324,6.19375,0,0,1
DGRP-380,0,0,0,1
DGRP-380,0.197222222,0,0,1
DGRP-380,0.983333333,0,0,1
DGRP-380,1.196527778,0,0,1
DGRP-380,1.995138889,0,0,1
DGRP-380,2.197916667,0,0,1
DGRP-380,3.008333333,0,0,1
DGRP-380,3.215972222,0,0,1
DGRP-380,3.988194444,0,0,1
DGRP-380,4.195138889,0,0,1
DGRP-380,5.023611111,0,0,1
DGRP-380,5.197916667,0,0,1
DGRP-380,6.01875,0,0,1
DGRP-380,6.19375,0,0,1
DGRP-280,0,1,0,1
DGRP-280,0.197222222,0,0,1
DGRP-280,0.983333333,0,0,1
DGRP-280,1.196527778,0,0,1
DGRP-280,1.995138889,0,0,1
DGRP-280,2.197916667,0,0,1
DGRP-280,3.008333333,0,0,1
DGRP-280,3.215972222,0,0,1
DGRP-280,3.988194444,0,0,1
DGRP-280,4.195138889,0,0,1
DGRP-280,5.023611111,0,0,1
DGRP-280,5.197916667,0,0,1
DGRP-280,6.01875,0,0,1
DGRP-280,6.19375,0,0,1
DGRP-383,0,2,0,1
DGRP-383,0.197222222,0,0,1
DGRP-383,0.983333333,0,0,1
DGRP-383,1.196527778,0,0,1
DGRP-383,1.995138889,0,0,1
DGRP-383,2.197916667,0,0,1
DGRP-383,3.008333333,0,0,1
DGRP-383,3.215972222,0,0,1
DGRP-383,3.988194444,0,0,1
DGRP-383,4.195138889,0,0,1
DGRP-383,5.023611111,0,0,1
DGRP-383,5.197916667,0,0,1
DGRP-383,6.01875,0,0,1
DGRP-383,6.19375,0,0,1
DGRP-136,0,10,0,1
DGRP-136,0.197222222,0,0,1
DGRP-136,0.983333333,0,0,1
DGRP-136,1.196527778,0,0,1
DGRP-136,1.995138889,0,0,1
DGRP-136,2.197916667,0,0,1
DGRP-136,3.008333333,0,0,1
DGRP-136,3.215972222,0,0,1
DGRP-136,3.988194444,0,0,1
DGRP-136,4.195138889,0,0,1
DGRP-136,5.023611111,0,0,1
DGRP-136,5.197916667,0,0,1
DGRP-136,6.01875,0,0,1
DGRP-136,6.19375,0,0,1
DGRP-189,0,0,0,1
DGRP-189,0.197222222,0,0,1
DGRP-189,0.983333333,0,0,1
DGRP-189,1.196527778,0,0,1
DGRP-189,1.995138889,0,0,1
DGRP-189,2.197916667,0,0,1
DGRP-189,3.008333333,0,0,1
DGRP-189,3.215972222,0,0,1
DGRP-189,3.988194444,0,0,1
DGRP-189,4.195138889,0,0,1
DGRP-189,5.023611111,0,0,1
DGRP-189,5.197916667,0,0,1
DGRP-189,6.01875,0,0,1
DGRP-189,6.19375,0,0,1
DGRP-91,0,0,1,2
DGRP-91,0.225694444,0,1,2
DGRP-91,1.006944444,0,1,2
